contractSymbol,type,expiration,strike,lastTradeDate,lastTradeDateEDT,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
GOOG251205C00337500,call,2025-12-05,337.5,2025-12-01 20:09:31+00:00,2025-12-01 15:09:31 EST,0.28,0.26,0.28,-0.59000003,-67.81609,1190.0,813,0.33789724609375,False,REGULAR,USD
GOOG251205C00340000,call,2025-12-05,340.0,2025-12-01 20:08:49+00:00,2025-12-01 15:08:49 EST,0.18,0.17,0.18,-0.48000002,-73.84615,2442.0,2802,0.33887379882812496,False,REGULAR,USD
GOOG251205C00342500,call,2025-12-05,342.5,2025-12-01 19:55:00+00:00,2025-12-01 14:55:00 EST,0.12,0.12,0.13,-0.37,-75.5102,6225.0,412,0.34717449707031245,False,REGULAR,USD
GOOG251205C00345000,call,2025-12-05,345.0,2025-12-01 20:03:01+00:00,2025-12-01 15:03:01 EST,0.09,0.08,0.09,-0.29999998,-78.947365,843.0,888,0.35352208984374994,False,REGULAR,USD
GOOG251205C00347500,call,2025-12-05,347.5,2025-12-01 19:27:25+00:00,2025-12-01 14:27:25 EST,0.05,0.05,0.07,-0.23,-82.14286,410.0,482,0.36524072265625,False,REGULAR,USD
GOOG251205C00350000,call,2025-12-05,350.0,2025-12-01 20:06:10+00:00,2025-12-01 15:06:10 EST,0.04,0.04,0.05,-0.19999999,-83.333336,1471.0,4243,0.3711000390625,False,REGULAR,USD
GOOG251205C00352500,call,2025-12-05,352.5,2025-12-01 19:53:42+00:00,2025-12-01 14:53:42 EST,0.04,0.03,0.04,-0.13,-76.4706,312.0,173,0.38281867187499996,False,REGULAR,USD
GOOG251205C00355000,call,2025-12-05,355.0,2025-12-01 19:10:56+00:00,2025-12-01 14:10:56 EST,0.02,0.02,0.03,-0.13000001,-86.66667,299.0,456,0.39063109375,False,REGULAR,USD
GOOG251205C00357500,call,2025-12-05,357.5,2025-12-01 19:56:01+00:00,2025-12-01 14:56:01 EST,0.02,0.01,0.03,-0.11,-84.61539,77.0,168,0.414068359375,False,REGULAR,USD
GOOG251205C00360000,call,2025-12-05,360.0,2025-12-01 19:17:27+00:00,2025-12-01 14:17:27 EST,0.01,0.01,0.02,-0.11,-91.66667,364.0,2039,0.414068359375,False,REGULAR,USD
